Jurisdiction,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CH,9522746719,10712712465,11879982759,13063643796,14480556572,15346741670,16480058705,17740013179,18942729779,20524886616,24274075006,29170150923,35777236928,48114943567,55449199174,63570059117,66493313570,71017619472,99318234340,1.12E+11,1.19E+11,1.09E+11,1.12E+11,1.11E+11,1.06E+11,1.08E+11,1.54E+11,1.93E+11,2.09E+11,2.02E+11,2.58E+11,2.61E+11,2.72E+11,2.64E+11,2.93E+11,3.43E+11,3.30E+11,2.87E+11,2.95E+11,2.90E+11,2.72E+11,2.79E+11,3.01E+11,3.53E+11,3.94E+11,4.09E+11,4.31E+11,4.80E+11,5.54E+11,5.42E+11,5.84E+11,7.00E+11,6.68E+11,6.89E+11,7.09E+11,6.80E+11,6.71E+11,6.80E+11,7.05E+11
CL,4110000000,4609727273,5416272727,5668187500,5982347826,6026593750,7072641026,7013196078,7167086957,8377093023,9126309735,10884114754,11853817308,16836261173,16210404184,7622217352,10341925249,13962893422,15989933708,21803696985,29036709872,34509878044,25325893206,20355959237,19622527480,17702885394,18891048819,22255407685,26040229793,29885685143,33113887818,37834793730,45964327559,49297773130,57008425296,73447063319,78039572222,84952360922,81577430181,75173794497,77860932152,70979923960,69736811435,75643459840,99210392858,1.23E+11,1.55E+11,1.74E+11,1.80E+11,1.72E+11,2.19E+11,2.52E+11,2.67E+11,2.78E+11,2.61E+11,2.44E+11,2.50E+11,2.78E+11,2.98E+11
CN,59716467625,50056868958,47209359006,50706799903,59708343489,70436266147,76720285970,72881631327,70846535056,79705906247,92602973434,99800958648,1.14E+11,1.39E+11,1.44E+11,1.63E+11,1.54E+11,1.75E+11,1.50E+11,1.78E+11,1.91E+11,1.96E+11,2.05E+11,2.31E+11,2.60E+11,3.09E+11,3.01E+11,2.73E+11,3.12E+11,3.48E+11,3.61E+11,3.83E+11,4.27E+11,4.45E+11,5.64E+11,7.35E+11,8.64E+11,9.62E+11,1.03E+12,1.09E+12,1.21E+12,1.34E+12,1.47E+12,1.66E+12,1.96E+12,2.29E+12,2.75E+12,3.55E+12,4.59E+12,5.10E+12,6.09E+12,7.55E+12,8.53E+12,9.57E+12,1.04E+13,1.10E+13,1.11E+13,1.21E+13,1.36E+13
CO,4031152977,4540447761,4955543963,4836166667,5973366667,5760761905,5428518519,5825170438,5960212869,6450175214,7198360460,7820380971,8671358733,10315760000,12370029584,13098633902,15341403660,19470960619,23263511958,27940411250,33400735644,36388366869,38968039722,38729822782,38253120738,34894411352,34942489684,36373307085,39212550050,39540080200,47844090710,49175565911,58418985443,66446804803,81703500846,92507279383,97160109278,1.07E+11,98443739941,86186158685,99886577331,98211749596,97963003805,94641378693,1.17E+11,1.45E+11,1.61E+11,2.06E+11,2.42E+11,2.32E+11,2.86E+11,3.34E+11,3.71E+11,3.82E+11,3.81E+11,2.93E+11,2.83E+11,3.12E+11,3.31E+11
CR,507513830,490325181.6,479180824.3,511902136.8,542578367.2,592981162.3,647305630.2,699456618.9,773841494.3,853630203.8,984830158.5,1077152902,1238251696,1528916185,1666544754,1960863466,2412555426,3072427013,3523208810,4035519323,4831447001,2623807074,2606621255,3146770104,3660476459,3919203960,4418983871,4532952047,4614629898,5251025767,5711687787,7168999670,8528593421,9537297723,10432619325,11513472786,11618286652,12552071488,13617405297,14195623343,14949514493,15913363441,16504795593,17196009811,18528955525,19948261084,22602721765,26743972564,30612927059,30562361123,37268614024,42262697840,46473128286,49745088112,50577769838,54775994479,57157992434,58174549218,60130106116
CU,,,,,,,,,,,5693005200,6914658400,8135150892,9987709650,11405957317,13027415244,13789579903,14206158675,17844705325,19584443288,19912889861,20150254096,20953510235,22204940512,24039383608,22920490774,24226574634,25213935012,27458999472,27023468666,28645436569,24316556026,22085858243,22367254865,28448326757,30429803651,25017368700,25365908100,25736331200,28364615200,30565400000,31682400000,33590500000,35901200000,38203000000,42643836100,52742800000,58603900000,60806300000,62080000000,64328000000,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,1.00E+11
CY,,,,,,,,,,,,,,,,489914760.7,576090073.7,734887974,964026512.2,1288715210,2154311277,2087496374,2159242417,2160364071,2278248953,2430411900,3090734463,3704813886,4278792597,4563482604,5591130218,5770197348,6912150456,6590291048,7425703929,9933133247,10011918444,9547818700,10248617647,10497908306,9985844486,10397897086,11420227885,14547325028,17320552500,18433411267,20072786351,23968764030,27844698989,25945391775,25732432719,27565469098,24978513427,23900872626,23128114787,19779150116,20890936462,22638608224,24961988663
CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40477403220,29675502270,34590052812,40614350197,47554674591,59775697061,66985765439,61792161168,66490372105,64867483193,61649492817,67523642262,81910771994,99627140274,1.19E+11,1.36E+11,1.55E+11,1.89E+11,2.36E+11,2.06E+11,2.07E+11,2.28E+11,2.07E+11,2.09E+11,2.08E+11,1.87E+11,1.95E+11,2.16E+11,2.45E+11
DE,,,,,,,,,,,2.16E+11,2.50E+11,3.00E+11,3.98E+11,4.45E+11,4.91E+11,5.20E+11,6.00E+11,7.40E+11,8.81E+11,9.50E+11,8.00E+11,7.77E+11,7.71E+11,7.25E+11,7.33E+11,1.05E+12,1.30E+12,1.40E+12,1.40E+12,1.77E+12,1.87E+12,2.13E+12,2.07E+12,2.21E+12,2.59E+12,2.50E+12,2.21E+12,2.24E+12,2.19E+12,1.94E+12,1.94E+12,2.07E+12,2.50E+12,2.81E+12,2.85E+12,2.99E+12,3.42E+12,3.73E+12,3.40E+12,3.40E+12,3.74E+12,3.53E+12,3.73E+12,3.88E+12,3.36E+12,3.47E+12,3.66E+12,3.95E+12
DK,,,,,,,11931739859,13059064375,13505573867,15414902267,17075457600,19085731252,23232379952,30730626663,34160444798,40474406216,44575892473,49784338519,60362931854,70366241969,71127528700,61877813965,60412844679,60644782176,59105236854,62658568287,88078760104,1.09E+11,1.16E+11,1.12E+11,1.38E+11,1.39E+11,1.53E+11,1.43E+11,1.56E+11,1.85E+11,1.88E+11,1.74E+11,1.77E+11,1.78E+11,1.64E+11,1.65E+11,1.79E+11,2.18E+11,2.51E+11,2.64E+11,2.83E+11,3.19E+11,3.53E+11,3.21E+11,3.22E+11,3.44E+11,3.27E+11,3.44E+11,3.53E+11,3.03E+11,3.13E+11,3.29E+11,3.56E+11
DO,672399700,654100200,824100000,940799900,1025599900,888100000,983900000,1034800000,1079100000,1230500000,1485500000,1666500000,1987400000,2344800000,2925700000,3599200000,3951500000,4587100000,4734400000,5498800000,6761300000,7561300000,8267400000,9220600000,11594000000,5044592945,6122198120,5826987099,5374314928,6686593060,7073675545,9734321854,11356271336,13081042400,14664237667,16598679279,18241691857,20017908829,21672526563,22137599986,24305116729,25599311449,27362875603,21642882856,22692574473,36119047252,38116351526,43965459070,48122601589,48261079523,53860187453,58029773801,60681535893,62682158701,67179956264,71164826721,75704647977,79998045976,85555390387
DZ,2723648552,2434776646,2001468868,2703014867,2909351793,3136258897,3039834559,3370843066,3852115817,4257218772,4863487493,5077222367,6761786387,8715105930,13209713643,15557934268,17728347375,20971901273,26364491313,33243422158,42345277342,44348672668,45207088716,48801369800,53698278906,57937868670,63696301893,66742267773,59089067187,55631489802,62045099643,45715367087,48003298223,49946455211,42542571306,41764052458,46941496780,48177862502,48187747529,48639108361,54786074940,54743249369,56758113501,67866141224,85324767230,1.03E+11,1.17E+11,1.35E+11,1.71E+11,1.37E+11,1.61E+11,2.00E+11,2.09E+11,2.10E+11,2.14E+11,1.66E+11,1.60E+11,1.67E+11,1.74E+11
EC,2069465326,1753850417,1518208221,1824344492,2244146868,2387048255,2429309514,2553596092,2582180794,3112166848,2862504170,2754220263,3185987235,3891755552,6599259421,7731677257,9091924305,11026346590,11922502171,14175166008,17881514683,21810767209,19929853575,17152483214,16912515183,17149094590,15314143988,13945431882,13051886552,13890828708,15239278100,16988535268,18094238119,18938717359,22708673337,24432884442,25226393197,28162053027,27981896948,19645272636,18327764882,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.02E+11,99290381000,99937696000,1.04E+11,1.08E+11
EG,,,,,,4948667540,5278005612,5605484299,5932242991,6524455206,8042200452,8609283346,9299638056,10098534613,9228963225,11632178869,13315988083,14400806876,14811704063,18020571429,21669908177,22136081081,27655172414,30966239814,33971188992,39053502251,41253507951,40455616654,34980124929,39756299050,42978914311,37387836491,41855986519,46578631453,51897983393,60159245060,67629716981,78436578171,84828807556,90710704807,99838543960,97632008710,87850683979,82924503943,78845185293,89685725230,1.07E+11,1.30E+11,1.63E+11,1.89E+11,2.19E+11,2.36E+11,2.79E+11,2.89E+11,3.06E+11,3.33E+11,3.33E+11,2.35E+11,2.51E+11
ES,12072126075,13834300571,16138545209,19074913948,21343844644,24756958695,28721062242,31647119228,31475548481,36038711600,40992995959,46619420120,59132415739,78639527127,97274005192,1.15E+11,1.19E+11,1.32E+11,1.61E+11,2.15E+11,2.33E+11,2.03E+11,1.96E+11,1.71E+11,1.72E+11,1.81E+11,2.51E+11,3.19E+11,3.76E+11,4.15E+11,5.37E+11,5.77E+11,6.31E+11,5.25E+11,5.31E+11,6.15E+11,6.43E+11,5.90E+11,6.19E+11,6.35E+11,5.97E+11,6.27E+11,7.05E+11,9.05E+11,1.07E+12,1.15E+12,1.26E+12,1.47E+12,1.63E+12,1.49E+12,1.42E+12,1.48E+12,1.32E+12,1.35E+12,1.37E+12,1.20E+12,1.23E+12,1.31E+12,1.42E+12
EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4006982535,4116735207,4497823918,4780169853,5147711226,5665917232,5762048126,5694069842,6259258258,7372457191,9877636518,12144397516,14098326328,17012321791,22445582946,24371299985,19744110447,19685033799,23394843529,23192709239,25271407239,26773472962,23048864243,23996451498,26792757827,30732144529
ET,,,,,,,,,,,,,,,,,,,,,,7324903188,7707678019,8567890821,8096302367,9480840483,9848600870,10527338647,10908935749,11476584879,12175166763,13463868357,10492993078,8830712714,6927950565,7663984568,8547939731,8589211390,7818224906,7700833482,8242392104,8231326016,7850809498,8623691300,10131187261,12401139454,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648211133,55612228234,64589334979,74296618481,81760441159,84355604753
FI,5224102196,5921659485,6340580854,6885920329,7766655086,8589340019,9208524505,9368954010,8823033880,10070766721,11357517271,12527405087,14743185403,19472363155,24848821333,29472623727,31849514233,33499799174,36256160722,44465255381,53645202423,52448332874,52797582336,50973526900,52888800950,55875863392,73531550551,91594751792,1.09E+11,1.19E+11,1.41E+11,1.28E+11,1.13E+11,89214114708,1.03E+11,1.34E+11,1.32E+11,1.27E+11,1.34E+11,1.35E+11,1.26E+11,1.29E+11,1.40E+11,1.71E+11,1.97E+11,2.05E+11,2.17E+11,2.56E+11,2.85E+11,2.52E+11,2.49E+11,2.75E+11,2.58E+11,2.71E+11,2.74E+11,2.35E+11,2.41E+11,2.54E+11,2.77E+11
FR,62225478001,67461644222,75607529810,84759195106,94007851047,1.02E+11,1.10E+11,1.19E+11,1.30E+11,1.42E+11,1.48E+11,1.66E+11,2.03E+11,2.64E+11,2.86E+11,3.61E+11,3.72E+11,4.10E+11,5.07E+11,6.14E+11,7.01E+11,6.16E+11,5.85E+11,5.60E+11,5.31E+11,5.53E+11,7.71E+11,9.34E+11,1.02E+12,1.03E+12,1.27E+12,1.27E+12,1.40E+12,1.32E+12,1.39E+12,1.60E+12,1.61E+12,1.45E+12,1.50E+12,1.49E+12,1.36E+12,1.38E+12,1.49E+12,1.84E+12,2.12E+12,2.20E+12,2.32E+12,2.66E+12,2.92E+12,2.69E+12,2.64E+12,2.86E+12,2.68E+12,2.81E+12,2.85E+12,2.44E+12,2.47E+12,2.59E+12,2.78E+12
GB,73233967692,77741965703,81247564157,86561961812,94407558351,1.02E+11,1.09E+11,1.13E+11,1.08E+11,1.16E+11,1.31E+11,1.48E+11,1.70E+11,1.93E+11,2.06E+11,2.42E+11,2.33E+11,2.63E+11,3.36E+11,4.39E+11,5.65E+11,5.41E+11,5.15E+11,4.90E+11,4.61E+11,4.89E+11,6.01E+11,7.45E+11,9.10E+11,9.27E+11,1.09E+12,1.14E+12,1.18E+12,1.06E+12,1.14E+12,1.34E+12,1.42E+12,1.56E+12,1.65E+12,1.68E+12,1.66E+12,1.64E+12,1.78E+12,2.05E+12,2.42E+12,2.54E+12,2.71E+12,3.10E+12,2.92E+12,2.41E+12,2.48E+12,2.66E+12,2.70E+12,2.79E+12,3.06E+12,2.93E+12,2.69E+12,2.67E+12,2.86E+12
GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7753501868,6357615894,3690328964,2701181331,2513870587,2693731866,3094935187,3510520231,3613498175,2800026339,3057475289,3219488664,3395728014,3991284895,5125365192,6410823633,7745394293,10172882371,12795076469,10766836277,12243505583,15107441447,16488403076,17189491403,17627060089,14953950557,15141758567,16242956764,17599660629
